,development_name,borough,total_units,transferred_date,address,street_number,street_name,full_address,violationid,buildingid,registrationid,boroid,housenumber,lowhousenumber,highhousenumber,streetname,class,inspectiondate,approveddate,originalcertifybydate,originalcorrectbydate,newcertifybydate,newcorrectbydate,certifieddate,ordernumber,novid,novdescription,novissueddate,currentstatusid,currentstatus,currentstatusdate,novtype,violationstatus,rentimpairing,inspectiondate_year,novissued_year,date_pulled,no_days_open
6387,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15321797,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2022-08-16,2022-08-17,08/31/2022,08/24/2022,,,,551.0,8007771.0,"§ 27-2010, 2011, 2012 ADM CODE CLEANSE AND DISINFECT TO THE SATISFACTION OF THIS DEPARTMENT AFTER REMOVING THE SOOT, AT CEILING AND WALLS, AT 2ND STORY PUBLIC HALL, AT BUILDING SECTION V.",2022-08-18,19.0,VIOLATION CLOSED,2024-09-29,Original,Close,Y,2022,2022.0,2025-10-06,773.0
6388,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15702672,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,B,2023-02-05,2023-02-05,03/27/2023,03/13/2023,,,,596.0,8278127.0,"§ 27-2026 ADM CODE REPLACE THE BROKEN OR DEFECTIVE RADIATOR AT EAST WALL IN THE 1st ROOM FROM NORTH LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION ''191w151st''",2023-02-06,9.0,VIOLATION DISMISSED,2025-07-23,Original,Close,Y,2023,2023.0,2025-10-06,898.0
6395,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15580155,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2022-11-26,2022-11-27,12/29/2022,12/24/2022,,,,569.0,8199164.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",2022-11-28,19.0,VIOLATION CLOSED,2025-08-07,Original,Close,N,2022,2022.0,2025-10-06,983.0
6398,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15665430,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2023-01-16,2023-01-17,01/31/2023,01/24/2023,,,,671.0,8255834.0,"§ 27-2033 ADM CODE POST NOTICE, IN FORM APPROVED BY THE DEPARTMENT, STATING THE NAME AND LOCATION OF THE PERSON DESIGNATED BY THE OWNER TO HAVE KEY TO BUILDINGS HEATING SYSTEM MISSING AT PUBLIC HALL, 1st STORY",2023-01-18,19.0,VIOLATION CLOSED,2024-09-29,Original,Close,N,2023,2023.0,2025-10-06,620.0
6399,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15321796,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2022-08-16,2022-08-18,09/01/2022,08/25/2022,,,,510.0,8009456.0,"§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF FIRE DAMAGE IN THE ENTIRE APARTMENT LOCATED AT APT 2A, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION ''V''",2022-08-19,19.0,VIOLATION CLOSED,2024-04-12,Original,Close,N,2022,2022.0,2025-10-06,602.0
6400,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15321799,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2022-08-16,2022-08-17,08/31/2022,08/24/2022,,,,505.0,8007771.0,"§ 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE SKYLIGHT, AT BUILDING SECTION V.",2022-08-18,19.0,VIOLATION CLOSED,2024-09-29,Original,Close,N,2022,2022.0,2025-10-06,773.0
6401,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15580151,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,B,2022-11-26,2022-11-27,01/16/2023,01/02/2023,,,,583.0,8199163.0,"§ 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE BATHROOM LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",2022-11-28,19.0,VIOLATION CLOSED,2025-07-23,Original,Close,N,2022,2022.0,2025-10-06,968.0
6402,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15580152,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,A,2022-11-26,2022-11-27,03/17/2023,03/03/2023,,,,491.0,8199162.0,"§ 300 M/D LAW FILE PLANS AND APPLICATION AND LEGALIZE THE FOLLOWING ALTERATION OR RESTORE TO THE LEGAL CONDITION EXISTING PRIOR TO THE MAKING OF SAID ALTERATION DROPPED/SUSPENDED CEILING IN THE BATHROOM LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",2022-11-28,19.0,VIOLATION CLOSED,2025-07-23,Original,Close,N,2022,2022.0,2025-10-06,968.0
6403,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15580153,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,B,2022-11-26,2022-11-27,01/16/2023,01/02/2023,,,,508.0,8199163.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE SOUTH WALL IN THE BATHROOM LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM WEST AT NORTH",2022-11-28,19.0,VIOLATION CLOSED,2025-07-23,Original,Close,N,2022,2022.0,2025-10-06,968.0
6404,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15702674,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2023-02-05,2023-02-05,02/25/2023,02/20/2023,,,,530.0,8278129.0,"§ 27-2005, 27-2007, 27-2041.1 HMC: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE BUILDING ENTRANCE , 1st STORY, SECTION ''173w151st''",2023-02-06,19.0,VIOLATION CLOSED,2025-07-23,Original,Close,N,2023,2023.0,2025-10-06,898.0
6417,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,16120889,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2023-07-21,2023-07-21,08/22/2023,08/17/2023,,,,617.0,8569236.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) CEILING IN THE KITCHEN LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2023-07-24,20.0,DEFECT LETTER ISSUED,2025-07-23,Original,Open,N,2023,2023.0,2025-10-06,805.0
6418,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,16120891,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2023-07-21,2023-07-21,08/22/2023,08/17/2023,,,,617.0,8569236.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st DOOR FRAME FROM NORTH AT EAST WALL, 1st RADIATOR FROM EAST AT SOUTH WALL IN THE 3rd ROOM FROM EAST AT SOUTH LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2023-07-24,20.0,DEFECT LETTER ISSUED,2025-07-23,Original,Open,N,2023,2023.0,2025-10-06,805.0
6419,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,16120894,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2023-07-21,2023-07-21,08/22/2023,08/17/2023,,,,617.0,8569236.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st CLOSET FROM EAST AT SOUTH WALL DOOR FRAME, 1st DOOR FRAME FROM SOUTH AT WEST WALL, 1st RADIATOR FROM NORTH AT EAST WALL IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2023-07-24,20.0,DEFECT LETTER ISSUED,2025-07-23,Original,Open,N,2023,2023.0,2025-10-06,805.0
6420,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,16120895,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2023-07-21,2023-07-21,08/22/2023,08/17/2023,,,,624.0,8569236.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD-PAINT THAT IS XRF TESTED INCONCLUSIVE FOR LEAD CONTENT AT 0.5MG/CM2 AND IS PRESUMED LEAD PAINT AS SET FORTH IN (28 RCNY §11-07(b)) AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE-USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(b)(2) 1st CLOSET FROM EAST AT SOUTH WALL CEILING, EAST WALL IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2023-07-24,20.0,DEFECT LETTER ISSUED,2025-07-23,Original,Open,N,2023,2023.0,2025-10-06,805.0
6431,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15121160,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,B,2022-04-26,2022-04-26,06/15/2022,06/01/2022,,,,508.0,7888767.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT EAST WALL IN THE 2nd ROOM FROM NORTH LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",2022-04-27,19.0,VIOLATION CLOSED,2025-07-23,Original,Close,N,2022,2022.0,2025-10-06,1183.0
6432,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15121161,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,B,2022-04-26,2022-04-26,06/15/2022,06/01/2022,,,,508.0,7888767.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING IN THE KITCHEN LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",2022-04-27,19.0,VIOLATION CLOSED,2025-07-23,Original,Close,N,2022,2022.0,2025-10-06,1183.0
6433,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15121159,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,B,2022-04-26,2022-04-26,06/15/2022,06/01/2022,,,,510.0,7888767.0,"§ 27-2005 ADM CODE & 309 M/D LAW ABATE THE NUISANCE CONSISTING OF HOT WATER PRESSURE LOW AT BATHTUB IN THE BATHROOM LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",2022-04-27,19.0,VIOLATION CLOSED,2024-10-06,Original,Close,N,2022,2022.0,2025-10-06,893.0
6434,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15321801,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2022-08-16,2022-08-17,09/06/2022,09/01/2022,,,,530.0,8007772.0,"§ 27-2005, 27-2007, 27-2041.1 HMC: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE AT BULKHEAD, AT BUILDING SECTION V.",2022-08-18,19.0,VIOLATION CLOSED,2024-09-29,Original,Close,N,2022,2022.0,2025-10-06,773.0
6436,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15702671,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2023-02-05,2023-02-05,02/18/2023,02/06/2023,,,,670.0,8277769.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION ''191w151st''",2023-02-06,19.0,VIOLATION CLOSED,2025-07-23,Original,Close,Y,2023,2023.0,2025-10-06,898.0
6437,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15913475,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2023-04-10,2023-04-11,04/25/2023,04/18/2023,,,,672.0,8447370.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM LOCKED DOOR AT BASEMENT AT BOILER ROOM,2023-04-12,19.0,VIOLATION CLOSED,2024-09-29,Original,Close,N,2023,2023.0,2025-10-06,536.0
6440,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15121157,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,B,2022-04-26,2022-04-26,06/15/2022,06/01/2022,,,,508.0,7888767.0,"§ 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT SOUTH WALL IN THE BATHROOM LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",2022-04-27,19.0,VIOLATION CLOSED,2025-07-23,Original,Close,N,2022,2022.0,2025-10-06,1183.0
6441,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15665429,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,A,2023-01-16,2023-01-17,05/07/2023,04/23/2023,,,,500.0,8255833.0,"§ 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCYS HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD. AT PUBLIC HALL, 1st STORY",2023-01-18,19.0,VIOLATION CLOSED,2024-09-29,Original,Close,N,2023,2023.0,2025-10-06,620.0
6442,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15913474,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2023-04-10,2023-04-11,04/23/2023,04/11/2023,,,,666.0,8447337.0,"§ 27-2029 ADM CODE PROVIDE AN ADEQUATE SUPPLY OF HEAT FOR THE APARTMENT IN THE ENTIRE APARTMENT LOCATED AT APT 2B , 2nd STORY, 1st APARTMENT FROM NORTH AT EAST",2023-04-12,19.0,VIOLATION CLOSED,2024-10-06,Original,Close,Y,2023,2023.0,2025-10-06,543.0
6445,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,16120893,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2023-07-21,2023-07-21,08/22/2023,08/17/2023,,,,617.0,8569236.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st CLOSET FROM NORTH AT EAST WALL DOOR FRAME IN THE PRIVATE HALLWAY LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2023-07-24,20.0,DEFECT LETTER ISSUED,2025-07-23,Original,Open,N,2023,2023.0,2025-10-06,805.0
6447,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15990483,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2023-05-19,2023-05-19,06/22/2023,06/17/2023,,,,568.0,8493783.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3B, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",2023-05-22,19.0,VIOLATION CLOSED,2025-08-07,Original,Close,N,2023,2023.0,2025-10-06,808.0
6448,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,16120886,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2023-07-21,2023-07-21,08/22/2023,08/17/2023,,,,617.0,8569236.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(B)(2) 1st DOOR FRAME FROM EAST AT SOUTH WALL IN THE BATHROOM LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2023-07-24,20.0,DEFECT LETTER ISSUED,2025-07-23,Original,Open,N,2023,2023.0,2025-10-06,805.0
6449,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,16120888,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2023-07-21,2023-07-21,08/22/2023,08/17/2023,,,,624.0,8569236.0,"§ 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD-PAINT THAT IS XRF TESTED INCONCLUSIVE FOR LEAD CONTENT AT 0.5MG/CM2 AND IS PRESUMED LEAD PAINT AS SET FORTH IN (28 RCNY §11-07(b)) AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE-USING WORK PRACTICES SET FORTH IN 28 RCNY §11-06(b)(2) NORTH WALL, EAST WALL IN THE 1st ROOM FROM EAST AT SOUTH LOCATED AT APT 1A, 1st STORY, 1st APARTMENT FROM NORTH AT EAST",2023-07-24,20.0,DEFECT LETTER ISSUED,2025-07-23,Original,Open,N,2023,2023.0,2025-10-06,805.0
6452,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15121155,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2022-04-26,2022-04-26,05/09/2022,04/27/2022,,,,670.0,7888726.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",2022-04-27,19.0,VIOLATION CLOSED,2024-10-06,Original,Close,Y,2022,2022.0,2025-10-06,893.0
6453,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15121156,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,B,2022-04-26,2022-04-26,06/15/2022,06/01/2022,,,,579.0,7888767.0,"§ 27-2026 ADM CODE REPAIR THE LEAKY AND/OR DEFECTIVE FAUCETS WASH BASIN IN THE BATHROOM LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",2022-04-27,19.0,VIOLATION CLOSED,2024-10-06,Original,Close,N,2022,2022.0,2025-10-06,893.0
6454,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15121162,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2022-04-26,2022-04-26,05/10/2022,05/03/2022,,,,672.0,7888768.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM BASEMENT DOOR LOCKED AT BOILER ROOM,2022-04-27,19.0,VIOLATION CLOSED,2024-09-29,Original,Close,N,2022,2022.0,2025-10-06,886.0
6455,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15318913,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,A,2022-08-12,2022-08-15,12/03/2022,11/19/2022,,,,778.0,8005485.0,"§ 27-2104 ADM CODE POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING. AT PUBLIC HALL, 1st STORY, SECTION ''191.W151ST''",2022-08-16,19.0,VIOLATION CLOSED,2025-07-23,Original,Close,N,2022,2022.0,2025-10-06,1072.0
6456,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15318914,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,A,2022-08-12,2022-08-15,12/03/2022,11/19/2022,,,,484.0,8005485.0,"§ 329, M/D LAW AND DEPT. RULES AND REGS. PROVIDE A COMPLETED CERTIFICATE OF INSPECTION VISITS IN A PROPER FRAME AT OR NEAR MAILBOXES, BOTTOM EDGE OF FRAME BETWEEN 48-62 INCHES ABOVE FLOOR FRAME MISSING AT WALL AT PUBLIC HALL, 1st STORY, SECTION ''191.W151ST''",2022-08-16,19.0,VIOLATION CLOSED,2025-07-23,Original,Close,N,2022,2022.0,2025-10-06,1072.0
6458,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15405802,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,A,2022-09-29,2022-09-29,01/17/2023,01/03/2023,,,,501.0,8055298.0,"§ 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE LIGHT FIXTURE AT SOUTH WALL IN THE BATHROOM LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION ''191w''",2022-09-30,19.0,VIOLATION CLOSED,2025-07-23,Original,Close,N,2022,2022.0,2025-10-06,1027.0
6459,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15405804,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2022-09-29,2022-09-30,11/03/2022,10/29/2022,,,,569.0,8057066.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION ''191w''",2022-10-03,19.0,VIOLATION CLOSED,2025-08-07,Original,Close,N,2022,2022.0,2025-10-06,1039.0
6460,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15406712,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2022-09-29,2022-09-30,11/03/2022,10/29/2022,,,,568.0,8057066.0,"HMC ADM CODE: § 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 4A, 4th STORY, 1st APARTMENT FROM WEST AT NORTH , SECTION ''191w''",2022-10-03,19.0,VIOLATION CLOSED,2025-08-07,Original,Close,N,2022,2022.0,2025-10-06,1039.0
6461,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15413336,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2022-10-10,2022-10-10,10/23/2022,10/11/2022,,,,670.0,8065286.0,"§ 27-2031 ADM CODE PROVIDE HOT WATER AT ALL HOT WATER FIXTURES IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST",2022-10-11,19.0,VIOLATION CLOSED,2024-10-06,Original,Close,Y,2022,2022.0,2025-10-06,726.0
6462,HARLEM RIVER,MANHATTAN,577,2/17/22,2621 A C POWELL BOULEVARD,2621.0,ADAM C POWELL BOULEVARD,2621 ADAM C POWELL BOULEVARD,15413337,3652,144956.0,1,2621,2621,2637,ADAM C POWELL BOULEVARD,C,2022-10-10,2022-10-11,10/25/2022,10/18/2022,,,,672.0,8068197.0,§ 27-2033 ADM CODE PROVIDE READY ACCESS TO BUILDINGS HEATING SYSTEM DOOR LOCKED AT BOILER ROOM,2022-10-12,19.0,VIOLATION CLOSED,2024-09-29,Original,Close,N,2022,2022.0,2025-10-06,718.0
